id	title	description	availability	inventory	condition	price	sale_price	link	image_link	brand	item_group_id	product_type	google_product_category	custom_label_0	custom_label_1
342181681501	Оливковое масло Olimp Extra Virgin Olive Oil Gold Extraction 1л	Оливковое масло Olimp Extra Virgin Olive Oil Gold Extraction, 1л Греция	in stock	999	new	209.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-342181681501-olivkovoe-maslo-olimp-extra-virgin-olive	https://static.tildacdn.com/tild3561-3733-4435-b339-366366326537/2334051076_w640_h640.jpg	smartfood.org.ua	342181681501	Масло	5827	ad	
424302022361	Оливки зеленые супер-гиганты с косточкой Corbi Asetuna gordal sabor anchoa 700г	Оливки зеленые супер-гиганты с косточкой Corbi Asetuna gordal sabor anchoa 700/400г Испания	in stock	999	new	230.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-424302022361-olivki-zelenie-super-giganti-s-kostochko	https://static.tildacdn.com/stor6239-6163-4463-b761-666631653834/66147644.jpg	Corbi	424302022361	Консервация, консервы	5811	free	
676199605871	Масло оливковое Pure Olive Costa dOro 1л	Масло оливковое Pure Olive Costa dOro Италия 1л.	in stock	999	new	342.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-676199605871-maslo-olivkovoe-pure-olive-costa-doro-1l	https://static.tildacdn.com/tild3263-6261-4336-b664-333764613933/IMG_1655-800x800.jpg	De Cecco	676199605871	Масло	5827	ad	
841402176681	Масло оливковое для жарки Monterico 1л	Масло оливковое для жарки Monterico 1л Испания	in stock	999	new	349.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-841402176681-maslo-olivkovoe-dlya-zharki-monterico-1l	https://static.tildacdn.com/tild3761-3062-4266-b338-343031393666/253402911_images_201.jpg	Monterrico	841402176681	Масло	5827	ad	
481441615671	Оливки крупные с косточкой Nero in Salamoia Olive Vittoria 500г	Оливки крупные Nero in Salamoia Olive Vittoria Италия 850/500г	in stock	999	new	125.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-481441615671-olivki-krupnie-s-kostochkoi-nero-in-sala	https://static.tildacdn.com/tild6431-3230-4262-a666-333165666133/253402746_images_201.jpg	Vittoria	481441615671	Консервация, консервы	5811	free	
674189544121	Масло оливковое Olio Extra Vergine Terra Gusto 1л	Масло оливковое Olio Extra Vergine Terra Gusto Италия 1л.	in stock	999	new	209.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-674189544121-maslo-olivkovoe-olio-extra-vergine-terra	https://static.tildacdn.com/tild6435-3337-4535-b534-336165336233/c0f36ff4-c4d9-11e9-9.jpg	smartfood.org.ua	674189544121	Масло	5827	ad	
714560939261	Оливковое масло Monterico Aceite de Oliva virgen extre Monterico Delicato 1л	Оливковое масло Monterico Aceite de Oliva virgen extre Monterico Delicato 1л Испания	in stock	999	new	399.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-714560939261-olivkovoe-maslo-monterico-aceite-de-oliv	https://static.tildacdn.com/tild3130-6661-4230-b764-616438656662/images1000x700.jpg	Monterrico	714560939261	Масло	5827	ad	
920207749191	Оливки большие, зеленые без косточки Bravo aceitunas sin bueso 1000г	Оливки большие, зеленые без косточки Bravo aceitunas sin bueso 1000 г Испания	in stock	999	new	278.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-920207749191-olivki-bolshie-zelenie-bez-kostochki-bra	https://static.tildacdn.com/tild6437-3832-4361-a230-303332386234/253403651_images_201.jpg	Corbi	920207749191	Консервация, консервы	5811	free	
896858384181	Оливки без косточки с перцем и чесноком Corbi Aceituna Gordal Deshuesada 700г	Оливки без косточки с перцем и чесноком Corbi Aceituna Gordal Deshuesada 700г Испания	in stock	999	new	230.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-896858384181-olivki-bez-kostochki-s-pertsem-i-chesnok	https://static.tildacdn.com/stor6638-3233-4735-a466-373064303333/98574588.jpg	Corbi	896858384181	Консервация, консервы	5811	free	
478470902321	Оливки зеленые с косточкой Vittoria Olive Verdi Dolci Giganti 500г	Оливки зеленые Vittoria Olive Verdi Dolci Giganti Италия 850/500г	in stock	999	new	125.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-478470902321-olivki-zelenie-s-kostochkoi-vittoria-oli	https://static.tildacdn.com/tild6432-6663-4131-a361-356139656434/D0BED0BBD0B8D0B2D0BA.jpg	Vittoria	478470902321	Консервация, консервы	5811	free	
